codigo_bdns,fecha_recepcion,tipo_administracion,status,last_error,last_attempt,retries
490190,2020-01-02,A,pending,,,0
490192,2020-01-02,A,pending,,,0
490207,2020-01-02,A,pending,,,0
490215,2020-01-02,A,pending,,,0
490218,2020-01-02,A,pending,,,0
490223,2020-01-02,A,pending,,,0
490225,2020-01-02,A,pending,,,0
490279,2020-01-02,A,pending,,,0
490282,2020-01-02,A,pending,,,0
490288,2020-01-02,A,pending,,,0
490289,2020-01-02,A,pending,,,0
490291,2020-01-02,A,pending,,,0
490292,2020-01-02,A,pending,,,0
490293,2020-01-02,A,pending,,,0
490294,2020-01-02,A,pending,,,0
490295,2020-01-02,A,pending,,,0
490296,2020-01-02,A,pending,,,0
490297,2020-01-02,A,pending,,,0
490298,2020-01-02,A,pending,,,0
490299,2020-01-02,A,pending,,,0
490300,2020-01-02,A,pending,,,0
490301,2020-01-03,A,pending,,,0
490302,2020-01-03,A,pending,,,0
490303,2020-01-03,A,pending,,,0
490304,2020-01-03,A,pending,,,0
490305,2020-01-03,A,pending,,,0
490306,2020-01-03,A,pending,,,0
490307,2020-01-03,A,pending,,,0
490390,2020-01-03,A,pending,,,0
490393,2020-01-03,A,pending,,,0
490394,2020-01-03,A,pending,,,0
490395,2020-01-03,A,pending,,,0
490396,2020-01-03,A,pending,,,0
490397,2020-01-03,A,pending,,,0
490398,2020-01-03,A,pending,,,0
490402,2020-01-03,A,pending,,,0
490405,2020-01-03,A,pending,,,0
490415,2020-01-03,A,pending,,,0
490417,2020-01-03,A,pending,,,0
490498,2020-01-07,A,pending,,,0
490512,2020-01-07,A,pending,,,0
490513,2020-01-07,A,pending,,,0
490514,2020-01-07,A,pending,,,0
490515,2020-01-07,A,pending,,,0
490516,2020-01-07,A,pending,,,0
490536,2020-01-07,A,pending,,,0
490545,2020-01-07,A,pending,,,0
490547,2020-01-07,A,pending,,,0
490555,2020-01-07,A,pending,,,0
490564,2020-01-07,A,pending,,,0
490576,2020-01-07,A,pending,,,0
490588,2020-01-07,A,pending,,,0
490603,2020-01-07,A,pending,,,0
490604,2020-01-07,A,pending,,,0
490611,2020-01-07,A,pending,,,0
490621,2020-01-07,A,pending,,,0
490625,2020-01-07,A,pending,,,0
490628,2020-01-07,A,pending,,,0
490634,2020-01-07,A,pending,,,0
490637,2020-01-07,A,pending,,,0
490638,2020-01-07,A,pending,,,0
490645,2020-01-07,A,pending,,,0
490646,2020-01-07,A,pending,,,0
490647,2020-01-07,A,pending,,,0
490648,2020-01-07,A,pending,,,0
490649,2020-01-07,A,pending,,,0
490650,2020-01-07,A,pending,,,0
490651,2020-01-07,A,pending,,,0
490652,2020-01-07,A,pending,,,0
490653,2020-01-07,A,pending,,,0
490654,2020-01-07,A,pending,,,0
490655,2020-01-07,A,pending,,,0
490656,2020-01-07,A,pending,,,0
490666,2020-01-08,A,pending,,,0
490674,2020-01-08,A,pending,,,0
490679,2020-01-08,A,pending,,,0
490682,2020-01-08,A,pending,,,0
490748,2020-01-08,A,pending,,,0
490760,2020-01-08,A,pending,,,0
490766,2020-01-08,A,pending,,,0
490770,2020-01-08,A,pending,,,0
490782,2020-01-08,A,pending,,,0
490798,2020-01-08,A,pending,,,0
490799,2020-01-08,A,pending,,,0
490800,2020-01-08,A,pending,,,0
490801,2020-01-08,A,pending,,,0
490804,2020-01-08,A,pending,,,0
490807,2020-01-08,A,pending,,,0
490812,2020-01-08,A,pending,,,0
490814,2020-01-08,A,pending,,,0
490816,2020-01-08,A,pending,,,0
490836,2020-01-08,A,pending,,,0
490848,2020-01-08,A,pending,,,0
490853,2020-01-08,A,pending,,,0
490855,2020-01-08,A,pending,,,0
490857,2020-01-08,A,pending,,,0
490858,2020-01-08,A,pending,,,0
490859,2020-01-08,A,pending,,,0
490860,2020-01-08,A,pending,,,0
490861,2020-01-08,A,pending,,,0
490862,2020-01-08,A,pending,,,0
490863,2020-01-08,A,pending,,,0
490864,2020-01-08,A,pending,,,0
490865,2020-01-08,A,pending,,,0
490866,2020-01-08,A,pending,,,0
490867,2020-01-08,A,pending,,,0
490868,2020-01-08,A,pending,,,0
490869,2020-01-08,A,pending,,,0
490870,2020-01-08,A,pending,,,0
490871,2020-01-08,A,pending,,,0
490872,2020-01-08,A,pending,,,0
490873,2020-01-08,A,pending,,,0
490874,2020-01-08,A,pending,,,0
490875,2020-01-08,A,pending,,,0
490876,2020-01-08,A,pending,,,0
490877,2020-01-08,A,pending,,,0
490878,2020-01-08,A,pending,,,0
490879,2020-01-08,A,pending,,,0
490880,2020-01-08,A,pending,,,0
490881,2020-01-08,A,pending,,,0
490882,2020-01-08,A,pending,,,0
490883,2020-01-08,A,pending,,,0
490884,2020-01-08,A,pending,,,0
490885,2020-01-08,A,pending,,,0
490886,2020-01-08,A,pending,,,0
490887,2020-01-08,A,pending,,,0
490888,2020-01-08,A,pending,,,0
490889,2020-01-08,A,pending,,,0
490890,2020-01-08,A,pending,,,0
490891,2020-01-08,A,pending,,,0
490892,2020-01-08,A,pending,,,0
490893,2020-01-08,A,pending,,,0
490894,2020-01-08,A,pending,,,0
490895,2020-01-08,A,pending,,,0
490896,2020-01-08,A,pending,,,0
490897,2020-01-08,A,pending,,,0
490898,2020-01-08,A,pending,,,0
490899,2020-01-08,A,pending,,,0
490900,2020-01-08,A,pending,,,0
490901,2020-01-08,A,pending,,,0
490902,2020-01-08,A,pending,,,0
490903,2020-01-08,A,pending,,,0
490904,2020-01-08,A,pending,,,0
490905,2020-01-08,A,pending,,,0
490906,2020-01-08,A,pending,,,0
490907,2020-01-08,A,pending,,,0
490908,2020-01-08,A,pending,,,0
490909,2020-01-08,A,pending,,,0
490910,2020-01-08,A,pending,,,0
490911,2020-01-08,A,pending,,,0
490913,2020-01-08,A,pending,,,0
490945,2020-01-09,A,pending,,,0
490962,2020-01-09,A,pending,,,0
490972,2020-01-09,A,pending,,,0
490983,2020-01-09,A,pending,,,0
490995,2020-01-09,A,pending,,,0
491003,2020-01-09,A,pending,,,0
491008,2020-01-09,A,pending,,,0
491017,2020-01-09,A,pending,,,0
491020,2020-01-09,A,pending,,,0
491022,2020-01-09,A,pending,,,0
491033,2020-01-09,A,pending,,,0
491048,2020-01-09,A,pending,,,0
491059,2020-01-09,A,pending,,,0
491060,2020-01-09,A,pending,,,0
491062,2020-01-09,A,pending,,,0
491084,2020-01-09,A,pending,,,0
491087,2020-01-09,A,pending,,,0
491088,2020-01-09,A,pending,,,0
491089,2020-01-09,A,pending,,,0
491090,2020-01-09,A,pending,,,0
491091,2020-01-09,A,pending,,,0
491092,2020-01-09,A,pending,,,0
491093,2020-01-09,A,pending,,,0
491094,2020-01-09,A,pending,,,0
491095,2020-01-09,A,pending,,,0
491096,2020-01-09,A,pending,,,0
491097,2020-01-09,A,pending,,,0
491098,2020-01-09,A,pending,,,0
491099,2020-01-09,A,pending,,,0
491100,2020-01-09,A,pending,,,0
491101,2020-01-09,A,pending,,,0
491102,2020-01-09,A,pending,,,0
