codigo_bdns,fecha_recepcion,tipo_administracion,status,last_error,last_attempt,retries
806695,2025-01-01,C,pending,,,0
806720,2025-01-02,C,pending,,,0
806721,2025-01-02,C,pending,,,0
806727,2025-01-02,C,pending,,,0
806729,2025-01-02,C,pending,,,0
806730,2025-01-02,C,pending,,,0
806731,2025-01-02,C,pending,,,0
806748,2025-01-02,C,pending,,,0
806751,2025-01-02,C,pending,,,0
806754,2025-01-02,C,pending,,,0
806772,2025-01-02,C,pending,,,0
806778,2025-01-02,C,pending,,,0
806782,2025-01-02,C,pending,,,0
806837,2025-01-02,C,pending,,,0
806840,2025-01-02,C,pending,,,0
806924,2025-01-03,C,pending,,,0
806985,2025-01-03,C,pending,,,0
807004,2025-01-03,C,pending,,,0
807010,2025-01-03,C,pending,,,0
807101,2025-01-07,C,pending,,,0
807227,2025-01-07,C,pending,,,0
807239,2025-01-07,C,pending,,,0
807255,2025-01-07,C,pending,,,0
807269,2025-01-07,C,pending,,,0
807279,2025-01-07,C,pending,,,0
807292,2025-01-07,C,pending,,,0
807301,2025-01-07,C,pending,,,0
807381,2025-01-07,C,pending,,,0
807384,2025-01-07,C,pending,,,0
807385,2025-01-07,C,pending,,,0
807386,2025-01-07,C,pending,,,0
807389,2025-01-07,C,pending,,,0
807418,2025-01-08,C,pending,,,0
807451,2025-01-08,C,pending,,,0
807531,2025-01-08,C,pending,,,0
807558,2025-01-08,C,pending,,,0
807575,2025-01-08,C,pending,,,0
807578,2025-01-08,C,pending,,,0
807778,2025-01-09,C,pending,,,0
807791,2025-01-09,C,pending,,,0
807836,2025-01-09,C,pending,,,0
807841,2025-01-09,C,pending,,,0
807842,2025-01-09,C,pending,,,0
808260,2025-01-09,C,pending,,,0
808345,2025-01-10,C,pending,,,0
808359,2025-01-10,C,pending,,,0
808383,2025-01-10,C,pending,,,0
808391,2025-01-10,C,pending,,,0
808395,2025-01-10,C,pending,,,0
808408,2025-01-10,C,pending,,,0
808414,2025-01-10,C,pending,,,0
808418,2025-01-10,C,pending,,,0
808420,2025-01-10,C,pending,,,0
808424,2025-01-10,C,pending,,,0
808427,2025-01-10,C,pending,,,0
808432,2025-01-10,C,pending,,,0
808588,2025-01-13,C,pending,,,0
808620,2025-01-13,C,pending,,,0
808683,2025-01-13,C,pending,,,0
808689,2025-01-13,C,pending,,,0
808792,2025-01-14,C,pending,,,0
808801,2025-01-14,C,pending,,,0
808811,2025-01-14,C,pending,,,0
808816,2025-01-14,C,pending,,,0
808962,2025-01-14,C,pending,,,0
809017,2025-01-14,C,pending,,,0
809019,2025-01-14,C,pending,,,0
809115,2025-01-15,C,pending,,,0
809128,2025-01-15,C,pending,,,0
809146,2025-01-15,C,pending,,,0
809172,2025-01-15,C,pending,,,0
809199,2025-01-15,C,pending,,,0
809207,2025-01-15,C,pending,,,0
809233,2025-01-15,C,pending,,,0
809236,2025-01-15,C,pending,,,0
809246,2025-01-15,C,pending,,,0
809247,2025-01-15,C,pending,,,0
809248,2025-01-15,C,pending,,,0
809249,2025-01-15,C,pending,,,0
809250,2025-01-15,C,pending,,,0
809251,2025-01-15,C,pending,,,0
809252,2025-01-15,C,pending,,,0
809253,2025-01-15,C,pending,,,0
809254,2025-01-15,C,pending,,,0
809255,2025-01-15,C,pending,,,0
809375,2025-01-16,C,pending,,,0
809386,2025-01-16,C,pending,,,0
809516,2025-01-16,C,pending,,,0
809581,2025-01-17,C,pending,,,0
809742,2025-01-17,C,pending,,,0
809750,2025-01-17,C,pending,,,0
809755,2025-01-17,C,pending,,,0
809772,2025-01-17,C,pending,,,0
809776,2025-01-17,C,pending,,,0
809781,2025-01-17,C,pending,,,0
809787,2025-01-17,C,pending,,,0
809806,2025-01-17,C,pending,,,0
809809,2025-01-17,C,pending,,,0
809814,2025-01-17,C,pending,,,0
809819,2025-01-17,C,pending,,,0
809822,2025-01-17,C,pending,,,0
809829,2025-01-17,C,pending,,,0
809834,2025-01-17,C,pending,,,0
809963,2025-01-20,C,pending,,,0
809966,2025-01-20,C,pending,,,0
809997,2025-01-20,C,pending,,,0
810012,2025-01-20,C,pending,,,0
810031,2025-01-20,C,pending,,,0
810113,2025-01-21,C,pending,,,0
810232,2025-01-21,C,pending,,,0
810236,2025-01-21,C,pending,,,0
810455,2025-01-22,C,pending,,,0
810470,2025-01-22,C,pending,,,0
810602,2025-01-23,C,pending,,,0
810608,2025-01-23,C,pending,,,0
810704,2025-01-23,C,pending,,,0
810723,2025-01-23,C,pending,,,0
810728,2025-01-23,C,pending,,,0
810749,2025-01-23,C,pending,,,0
810754,2025-01-23,C,pending,,,0
810757,2025-01-23,C,pending,,,0
810762,2025-01-23,C,pending,,,0
810767,2025-01-23,C,pending,,,0
810769,2025-01-23,C,pending,,,0
810773,2025-01-23,C,pending,,,0
810776,2025-01-23,C,pending,,,0
810779,2025-01-23,C,pending,,,0
810781,2025-01-23,C,pending,,,0
810784,2025-01-23,C,pending,,,0
810785,2025-01-23,C,pending,,,0
810791,2025-01-23,C,pending,,,0
810793,2025-01-23,C,pending,,,0
810794,2025-01-23,C,pending,,,0
810795,2025-01-23,C,pending,,,0
810797,2025-01-23,C,pending,,,0
810798,2025-01-23,C,pending,,,0
810799,2025-01-23,C,pending,,,0
810800,2025-01-23,C,pending,,,0
810801,2025-01-23,C,pending,,,0
810802,2025-01-23,C,pending,,,0
810804,2025-01-23,C,pending,,,0
810805,2025-01-23,C,pending,,,0
810806,2025-01-23,C,pending,,,0
810808,2025-01-23,C,pending,,,0
810856,2025-01-24,C,pending,,,0
810861,2025-01-24,C,pending,,,0
810866,2025-01-24,C,pending,,,0
810871,2025-01-24,C,pending,,,0
810882,2025-01-24,C,pending,,,0
810886,2025-01-24,C,pending,,,0
810903,2025-01-24,C,pending,,,0
810915,2025-01-24,C,pending,,,0
810929,2025-01-24,C,pending,,,0
810974,2025-01-24,C,pending,,,0
810984,2025-01-24,C,pending,,,0
810987,2025-01-24,C,pending,,,0
810988,2025-01-24,C,pending,,,0
811052,2025-01-27,C,pending,,,0
811056,2025-01-27,C,pending,,,0
811058,2025-01-27,C,pending,,,0
811059,2025-01-27,C,pending,,,0
811060,2025-01-27,C,pending,,,0
811159,2025-01-27,C,pending,,,0
811186,2025-01-27,C,pending,,,0
811476,2025-01-28,C,pending,,,0
811649,2025-01-29,C,pending,,,0
811768,2025-01-29,C,pending,,,0
812005,2025-01-30,C,pending,,,0
812006,2025-01-30,C,pending,,,0
812364,2025-01-31,C,pending,,,0
812395,2025-01-31,C,pending,,,0
812549,2025-02-03,C,pending,,,0
812550,2025-02-03,C,pending,,,0
812553,2025-02-03,C,pending,,,0
812555,2025-02-03,C,pending,,,0
812572,2025-02-03,C,pending,,,0
812620,2025-02-03,C,pending,,,0
812627,2025-02-03,C,pending,,,0
812683,2025-02-04,C,pending,,,0
812694,2025-02-04,C,pending,,,0
812722,2025-02-04,C,pending,,,0
812727,2025-02-04,C,pending,,,0
812728,2025-02-04,C,pending,,,0
812778,2025-02-04,C,pending,,,0
812906,2025-02-04,C,pending,,,0
813041,2025-02-05,C,pending,,,0
813044,2025-02-05,C,pending,,,0
813069,2025-02-05,C,pending,,,0
813159,2025-02-06,C,pending,,,0
813175,2025-02-06,C,pending,,,0
813201,2025-02-06,C,pending,,,0
813212,2025-02-06,C,pending,,,0
813220,2025-02-06,C,pending,,,0
813222,2025-02-06,C,pending,,,0
813355,2025-02-06,C,pending,,,0
813406,2025-02-06,C,pending,,,0
813437,2025-02-07,C,pending,,,0
813476,2025-02-07,C,pending,,,0
813479,2025-02-07,C,pending,,,0
813647,2025-02-10,C,pending,,,0
813662,2025-02-10,C,pending,,,0
813668,2025-02-10,C,pending,,,0
813674,2025-02-10,C,pending,,,0
813690,2025-02-10,C,pending,,,0
813693,2025-02-10,C,pending,,,0
813730,2025-02-10,C,pending,,,0
813735,2025-02-10,C,pending,,,0
813747,2025-02-10,C,pending,,,0
813795,2025-02-10,C,pending,,,0
813799,2025-02-10,C,pending,,,0
813802,2025-02-10,C,pending,,,0
813804,2025-02-10,C,pending,,,0
813808,2025-02-10,C,pending,,,0
814031,2025-02-11,C,pending,,,0
814034,2025-02-11,C,pending,,,0
814037,2025-02-11,C,pending,,,0
814038,2025-02-11,C,pending,,,0
814041,2025-02-11,C,pending,,,0
814051,2025-02-11,C,pending,,,0
814053,2025-02-11,C,pending,,,0
814057,2025-02-11,C,pending,,,0
814061,2025-02-11,C,pending,,,0
814275,2025-02-12,C,pending,,,0
814342,2025-02-12,C,pending,,,0
814386,2025-02-12,C,pending,,,0
814407,2025-02-12,C,pending,,,0
814409,2025-02-12,C,pending,,,0
814459,2025-02-12,C,pending,,,0
814531,2025-02-12,C,pending,,,0
814533,2025-02-12,C,pending,,,0
814574,2025-02-13,C,pending,,,0
814730,2025-02-13,C,pending,,,0
814732,2025-02-13,C,pending,,,0
814742,2025-02-13,C,pending,,,0
814746,2025-02-13,C,pending,,,0
814751,2025-02-13,C,pending,,,0
814759,2025-02-13,C,pending,,,0
814766,2025-02-13,C,pending,,,0
814773,2025-02-13,C,pending,,,0
814893,2025-02-14,C,pending,,,0
814905,2025-02-14,C,pending,,,0
814955,2025-02-14,C,pending,,,0
814957,2025-02-14,C,pending,,,0
814968,2025-02-14,C,pending,,,0
814969,2025-02-14,C,pending,,,0
814977,2025-02-14,C,pending,,,0
814988,2025-02-14,C,pending,,,0
814994,2025-02-14,C,pending,,,0
815003,2025-02-14,C,pending,,,0
815291,2025-02-17,C,pending,,,0
815298,2025-02-17,C,pending,,,0
815306,2025-02-17,C,pending,,,0
815317,2025-02-17,C,pending,,,0
815326,2025-02-17,C,pending,,,0
815331,2025-02-17,C,pending,,,0
815334,2025-02-17,C,pending,,,0
815457,2025-02-18,C,pending,,,0
815528,2025-02-18,C,pending,,,0
815530,2025-02-18,C,pending,,,0
815687,2025-02-19,C,pending,,,0
815701,2025-02-19,C,pending,,,0
815704,2025-02-19,C,pending,,,0
815733,2025-02-19,C,pending,,,0
815737,2025-02-19,C,pending,,,0
815761,2025-02-19,C,pending,,,0
815794,2025-02-19,C,pending,,,0
815798,2025-02-19,C,pending,,,0
815800,2025-02-19,C,pending,,,0
815804,2025-02-19,C,pending,,,0
815808,2025-02-19,C,pending,,,0
815817,2025-02-19,C,pending,,,0
815820,2025-02-19,C,pending,,,0
815824,2025-02-19,C,pending,,,0
815831,2025-02-19,C,pending,,,0
815834,2025-02-19,C,pending,,,0
815878,2025-02-19,C,pending,,,0
815946,2025-02-20,C,pending,,,0
815953,2025-02-20,C,pending,,,0
815961,2025-02-20,C,pending,,,0
815965,2025-02-20,C,pending,,,0
815991,2025-02-20,C,pending,,,0
816119,2025-02-20,C,pending,,,0
816137,2025-02-21,C,pending,,,0
816217,2025-02-21,C,pending,,,0
816327,2025-02-21,C,pending,,,0
816408,2025-02-21,C,pending,,,0
816415,2025-02-21,C,pending,,,0
816456,2025-02-24,C,pending,,,0
816466,2025-02-24,C,pending,,,0
816474,2025-02-24,C,pending,,,0
816484,2025-02-24,C,pending,,,0
816588,2025-02-24,C,pending,,,0
816670,2025-02-24,C,pending,,,0
816671,2025-02-24,C,pending,,,0
816687,2025-02-24,C,pending,,,0
816742,2025-02-25,C,pending,,,0
816774,2025-02-25,C,pending,,,0
816783,2025-02-25,C,pending,,,0
816796,2025-02-25,C,pending,,,0
816814,2025-02-25,C,pending,,,0
816828,2025-02-25,C,pending,,,0
816836,2025-02-25,C,pending,,,0
816872,2025-02-25,C,pending,,,0
816882,2025-02-25,C,pending,,,0
816983,2025-02-25,C,pending,,,0
816995,2025-02-25,C,pending,,,0
816996,2025-02-25,C,pending,,,0
816997,2025-02-25,C,pending,,,0
817002,2025-02-25,C,pending,,,0
817003,2025-02-25,C,pending,,,0
817004,2025-02-25,C,pending,,,0
817014,2025-02-25,C,pending,,,0
817015,2025-02-25,C,pending,,,0
817017,2025-02-25,C,pending,,,0
817018,2025-02-25,C,pending,,,0
817019,2025-02-25,C,pending,,,0
817020,2025-02-25,C,pending,,,0
817021,2025-02-25,C,pending,,,0
817027,2025-02-25,C,pending,,,0
817028,2025-02-25,C,pending,,,0
817029,2025-02-25,C,pending,,,0
817030,2025-02-25,C,pending,,,0
817031,2025-02-25,C,pending,,,0
817032,2025-02-25,C,pending,,,0
817033,2025-02-25,C,pending,,,0
817034,2025-02-25,C,pending,,,0
817037,2025-02-26,C,pending,,,0
817045,2025-02-26,C,pending,,,0
817046,2025-02-26,C,pending,,,0
817048,2025-02-26,C,pending,,,0
817049,2025-02-26,C,pending,,,0
817050,2025-02-26,C,pending,,,0
817051,2025-02-26,C,pending,,,0
817052,2025-02-26,C,pending,,,0
817056,2025-02-26,C,pending,,,0
817069,2025-02-26,C,pending,,,0
817126,2025-02-26,C,pending,,,0
817135,2025-02-26,C,pending,,,0
817138,2025-02-26,C,pending,,,0
817140,2025-02-26,C,pending,,,0
817145,2025-02-26,C,pending,,,0
817148,2025-02-26,C,pending,,,0
817153,2025-02-26,C,pending,,,0
817159,2025-02-26,C,pending,,,0
817164,2025-02-26,C,pending,,,0
817274,2025-02-26,C,pending,,,0
817569,2025-02-28,C,pending,,,0
817590,2025-02-28,C,pending,,,0
817592,2025-02-28,C,pending,,,0
817631,2025-02-28,C,pending,,,0
817695,2025-02-28,C,pending,,,0
817801,2025-03-03,C,pending,,,0
817803,2025-03-03,C,pending,,,0
817824,2025-03-03,C,pending,,,0
817844,2025-03-03,C,pending,,,0
817903,2025-03-03,C,pending,,,0
817924,2025-03-03,C,pending,,,0
818063,2025-03-03,C,pending,,,0
818065,2025-03-03,C,pending,,,0
818204,2025-03-04,C,pending,,,0
818313,2025-03-04,C,pending,,,0
818540,2025-03-05,C,pending,,,0
818677,2025-03-05,C,pending,,,0
818752,2025-03-06,C,pending,,,0
818772,2025-03-06,C,pending,,,0
818920,2025-03-06,C,pending,,,0
819034,2025-03-07,C,pending,,,0
819101,2025-03-07,C,pending,,,0
819148,2025-03-07,C,pending,,,0
819234,2025-03-10,C,pending,,,0
819300,2025-03-10,C,pending,,,0
819328,2025-03-10,C,pending,,,0
819458,2025-03-10,C,pending,,,0
819607,2025-03-11,C,pending,,,0
819625,2025-03-11,C,pending,,,0
819639,2025-03-11,C,pending,,,0
819650,2025-03-11,C,pending,,,0
819652,2025-03-11,C,pending,,,0
819664,2025-03-11,C,pending,,,0
819710,2025-03-11,C,pending,,,0
819757,2025-03-11,C,pending,,,0
819774,2025-03-12,C,pending,,,0
819931,2025-03-12,C,pending,,,0
820011,2025-03-12,C,pending,,,0
820279,2025-03-13,C,pending,,,0
820328,2025-03-14,C,pending,,,0
820406,2025-03-14,C,pending,,,0
820526,2025-03-14,C,pending,,,0
820538,2025-03-14,C,pending,,,0
820540,2025-03-14,C,pending,,,0
820726,2025-03-17,C,pending,,,0
820872,2025-03-17,C,pending,,,0
821006,2025-03-18,C,pending,,,0
821048,2025-03-18,C,pending,,,0
821074,2025-03-18,C,pending,,,0
821080,2025-03-18,C,pending,,,0
821086,2025-03-18,C,pending,,,0
821098,2025-03-18,C,pending,,,0
821187,2025-03-18,C,pending,,,0
821224,2025-03-18,C,pending,,,0
821231,2025-03-18,C,pending,,,0
821269,2025-03-18,C,pending,,,0
821270,2025-03-18,C,pending,,,0
821271,2025-03-18,C,pending,,,0
821272,2025-03-18,C,pending,,,0
821274,2025-03-18,C,pending,,,0
821276,2025-03-18,C,pending,,,0
821277,2025-03-18,C,pending,,,0
821278,2025-03-18,C,pending,,,0
821280,2025-03-18,C,pending,,,0
821281,2025-03-18,C,pending,,,0
821283,2025-03-18,C,pending,,,0
821284,2025-03-18,C,pending,,,0
821285,2025-03-18,C,pending,,,0
821286,2025-03-18,C,pending,,,0
821294,2025-03-18,C,pending,,,0
821296,2025-03-18,C,pending,,,0
821298,2025-03-18,C,pending,,,0
821300,2025-03-18,C,pending,,,0
821417,2025-03-19,C,pending,,,0
821744,2025-03-20,C,pending,,,0
821771,2025-03-20,C,pending,,,0
821776,2025-03-20,C,pending,,,0
821781,2025-03-20,C,pending,,,0
821903,2025-03-21,C,pending,,,0
821987,2025-03-21,C,pending,,,0
821993,2025-03-21,C,pending,,,0
822096,2025-03-21,C,pending,,,0
822103,2025-03-21,C,pending,,,0
822124,2025-03-21,C,pending,,,0
822129,2025-03-21,C,pending,,,0
822139,2025-03-22,C,pending,,,0
822140,2025-03-22,C,pending,,,0
822141,2025-03-22,C,pending,,,0
822142,2025-03-22,C,pending,,,0
822452,2025-03-24,C,pending,,,0
822593,2025-03-25,C,pending,,,0
822607,2025-03-25,C,pending,,,0
822704,2025-03-25,C,pending,,,0
822743,2025-03-25,C,pending,,,0
822768,2025-03-25,C,pending,,,0
822840,2025-03-26,C,pending,,,0
822850,2025-03-26,C,pending,,,0
822906,2025-03-26,C,pending,,,0
822913,2025-03-26,C,pending,,,0
822930,2025-03-26,C,pending,,,0
823003,2025-03-26,C,pending,,,0
823268,2025-03-27,C,pending,,,0
823283,2025-03-27,C,pending,,,0
823367,2025-03-27,C,pending,,,0
823438,2025-03-28,C,pending,,,0
823448,2025-03-28,C,pending,,,0
823455,2025-03-28,C,pending,,,0
823456,2025-03-28,C,pending,,,0
823459,2025-03-28,C,pending,,,0
823506,2025-03-28,C,pending,,,0
823513,2025-03-28,C,pending,,,0
823533,2025-03-28,C,pending,,,0
823546,2025-03-28,C,pending,,,0
823565,2025-03-28,C,pending,,,0
823570,2025-03-28,C,pending,,,0
823574,2025-03-28,C,pending,,,0
823578,2025-03-28,C,pending,,,0
823580,2025-03-28,C,pending,,,0
823583,2025-03-28,C,pending,,,0
823592,2025-03-28,C,pending,,,0
823598,2025-03-28,C,pending,,,0
823601,2025-03-28,C,pending,,,0
823604,2025-03-28,C,pending,,,0
823611,2025-03-28,C,pending,,,0
823615,2025-03-28,C,pending,,,0
823617,2025-03-28,C,pending,,,0
823626,2025-03-28,C,pending,,,0
823641,2025-03-28,C,pending,,,0
823646,2025-03-28,C,pending,,,0
823651,2025-03-28,C,pending,,,0
823652,2025-03-28,C,pending,,,0
823659,2025-03-28,C,pending,,,0
823664,2025-03-28,C,pending,,,0
823666,2025-03-28,C,pending,,,0
823671,2025-03-28,C,pending,,,0
823673,2025-03-28,C,pending,,,0
823716,2025-03-31,C,pending,,,0
823747,2025-03-31,C,pending,,,0
823780,2025-03-31,C,pending,,,0
823807,2025-03-31,C,pending,,,0
823829,2025-03-31,C,pending,,,0
823890,2025-03-31,C,pending,,,0
823903,2025-03-31,C,pending,,,0
823910,2025-03-31,C,pending,,,0
823917,2025-03-31,C,pending,,,0
823919,2025-03-31,C,pending,,,0
823936,2025-03-31,C,pending,,,0
823997,2025-03-31,C,pending,,,0
823998,2025-03-31,C,pending,,,0
823999,2025-03-31,C,pending,,,0
824000,2025-03-31,C,pending,,,0
824001,2025-03-31,C,pending,,,0
824002,2025-03-31,C,pending,,,0
824005,2025-03-31,C,pending,,,0
824103,2025-04-01,C,pending,,,0
824133,2025-04-01,C,pending,,,0
824205,2025-04-01,C,pending,,,0
824427,2025-04-02,C,pending,,,0
824529,2025-04-02,C,pending,,,0
824567,2025-04-02,C,pending,,,0
824573,2025-04-02,C,pending,,,0
824581,2025-04-02,C,pending,,,0
824587,2025-04-02,C,pending,,,0
824590,2025-04-02,C,pending,,,0
824592,2025-04-02,C,pending,,,0
824649,2025-04-02,C,pending,,,0
824651,2025-04-02,C,pending,,,0
824652,2025-04-02,C,pending,,,0
824654,2025-04-02,C,pending,,,0
824657,2025-04-02,C,pending,,,0
824661,2025-04-02,C,pending,,,0
824663,2025-04-02,C,pending,,,0
824665,2025-04-02,C,pending,,,0
824725,2025-04-03,C,pending,,,0
824807,2025-04-03,C,pending,,,0
824808,2025-04-03,C,pending,,,0
824816,2025-04-03,C,pending,,,0
824824,2025-04-03,C,pending,,,0
825090,2025-04-04,C,pending,,,0
825102,2025-04-04,C,pending,,,0
825253,2025-04-07,C,pending,,,0
825256,2025-04-07,C,pending,,,0
825415,2025-04-07,C,pending,,,0
825454,2025-04-07,C,pending,,,0
825543,2025-04-07,C,pending,,,0
825652,2025-04-08,C,pending,,,0
825653,2025-04-08,C,pending,,,0
