codigo_bdns,fecha_recepcion,tipo_administracion,status,last_error,last_attempt,retries
543205,2021-01-01,A,pending,,,0
543253,2021-01-04,A,pending,,,0
543255,2021-01-04,A,pending,,,0
543256,2021-01-04,A,pending,,,0
543257,2021-01-04,A,pending,,,0
543263,2021-01-04,A,pending,,,0
543271,2021-01-04,A,pending,,,0
543297,2021-01-04,A,pending,,,0
543299,2021-01-04,A,pending,,,0
543300,2021-01-04,A,pending,,,0
543301,2021-01-04,A,pending,,,0
543303,2021-01-04,A,pending,,,0
543304,2021-01-04,A,pending,,,0
543325,2021-01-04,A,pending,,,0
543328,2021-01-04,A,pending,,,0
543333,2021-01-04,A,pending,,,0
543336,2021-01-04,A,pending,,,0
543348,2021-01-04,A,pending,,,0
543349,2021-01-04,A,pending,,,0
543353,2021-01-04,A,pending,,,0
543356,2021-01-04,A,pending,,,0
543359,2021-01-04,A,pending,,,0
543360,2021-01-04,A,pending,,,0
543361,2021-01-04,A,pending,,,0
543363,2021-01-04,A,pending,,,0
543365,2021-01-04,A,pending,,,0
543366,2021-01-04,A,pending,,,0
543367,2021-01-04,A,pending,,,0
543368,2021-01-04,A,pending,,,0
543371,2021-01-04,A,pending,,,0
543372,2021-01-04,A,pending,,,0
543373,2021-01-04,A,pending,,,0
543374,2021-01-05,A,pending,,,0
543383,2021-01-05,A,pending,,,0
543384,2021-01-05,A,pending,,,0
543386,2021-01-05,A,pending,,,0
543388,2021-01-05,A,pending,,,0
543441,2021-01-05,A,pending,,,0
543450,2021-01-05,A,pending,,,0
543454,2021-01-05,A,pending,,,0
543469,2021-01-05,A,pending,,,0
543474,2021-01-05,A,pending,,,0
543480,2021-01-07,A,pending,,,0
543500,2021-01-07,A,pending,,,0
543505,2021-01-07,A,pending,,,0
543511,2021-01-07,A,pending,,,0
543512,2021-01-07,A,pending,,,0
543513,2021-01-07,A,pending,,,0
543515,2021-01-07,A,pending,,,0
543516,2021-01-07,A,pending,,,0
543517,2021-01-07,A,pending,,,0
543518,2021-01-07,A,pending,,,0
543519,2021-01-07,A,pending,,,0
543520,2021-01-07,A,pending,,,0
543521,2021-01-07,A,pending,,,0
543527,2021-01-07,A,pending,,,0
543528,2021-01-07,A,pending,,,0
543529,2021-01-07,A,pending,,,0
543530,2021-01-07,A,pending,,,0
543531,2021-01-07,A,pending,,,0
543532,2021-01-07,A,pending,,,0
543533,2021-01-07,A,pending,,,0
543534,2021-01-07,A,pending,,,0
543535,2021-01-07,A,pending,,,0
543539,2021-01-07,A,pending,,,0
543542,2021-01-07,A,pending,,,0
543550,2021-01-07,A,pending,,,0
543553,2021-01-07,A,pending,,,0
543557,2021-01-07,A,pending,,,0
543559,2021-01-07,A,pending,,,0
543560,2021-01-07,A,pending,,,0
543561,2021-01-07,A,pending,,,0
543568,2021-01-07,A,pending,,,0
543573,2021-01-07,A,pending,,,0
543574,2021-01-07,A,pending,,,0
543591,2021-01-08,A,pending,,,0
543601,2021-01-08,A,pending,,,0
543611,2021-01-08,A,pending,,,0
543632,2021-01-08,A,pending,,,0
543637,2021-01-08,A,pending,,,0
543657,2021-01-08,A,pending,,,0
543671,2021-01-08,A,pending,,,0
543674,2021-01-08,A,pending,,,0
543676,2021-01-08,A,pending,,,0
543677,2021-01-08,A,pending,,,0
543678,2021-01-08,A,pending,,,0
543679,2021-01-08,A,pending,,,0
543680,2021-01-08,A,pending,,,0
543710,2021-01-08,A,pending,,,0
543756,2021-01-11,A,pending,,,0
543764,2021-01-11,A,pending,,,0
543791,2021-01-11,A,pending,,,0
543811,2021-01-11,A,pending,,,0
543814,2021-01-11,A,pending,,,0
543850,2021-01-11,A,pending,,,0
543862,2021-01-11,A,pending,,,0
543863,2021-01-11,A,pending,,,0
543865,2021-01-11,A,pending,,,0
543871,2021-01-11,A,pending,,,0
543873,2021-01-11,A,pending,,,0
543892,2021-01-11,A,pending,,,0
543894,2021-01-11,A,pending,,,0
543895,2021-01-11,A,pending,,,0
543896,2021-01-11,A,pending,,,0
543897,2021-01-11,A,pending,,,0
543898,2021-01-11,A,pending,,,0
543899,2021-01-11,A,pending,,,0
543900,2021-01-11,A,pending,,,0
543921,2021-01-11,A,pending,,,0
543922,2021-01-11,A,pending,,,0
543934,2021-01-12,A,pending,,,0
543945,2021-01-12,A,pending,,,0
543961,2021-01-12,A,pending,,,0
543965,2021-01-12,A,pending,,,0
543975,2021-01-12,A,pending,,,0
543983,2021-01-12,A,pending,,,0
543984,2021-01-12,A,pending,,,0
543985,2021-01-12,A,pending,,,0
543986,2021-01-12,A,pending,,,0
543991,2021-01-12,A,pending,,,0
543996,2021-01-12,A,pending,,,0
544027,2021-01-12,A,pending,,,0
544064,2021-01-12,A,pending,,,0
544140,2021-01-12,A,pending,,,0
544149,2021-01-12,A,pending,,,0
544150,2021-01-12,A,pending,,,0
544151,2021-01-12,A,pending,,,0
544152,2021-01-12,A,pending,,,0
544153,2021-01-12,A,pending,,,0
544154,2021-01-12,A,pending,,,0
544155,2021-01-12,A,pending,,,0
544156,2021-01-12,A,pending,,,0
544157,2021-01-12,A,pending,,,0
544158,2021-01-12,A,pending,,,0
544159,2021-01-12,A,pending,,,0
544160,2021-01-12,A,pending,,,0
544161,2021-01-12,A,pending,,,0
544162,2021-01-12,A,pending,,,0
544163,2021-01-12,A,pending,,,0
544164,2021-01-12,A,pending,,,0
544165,2021-01-12,A,pending,,,0
544166,2021-01-12,A,pending,,,0
544167,2021-01-12,A,pending,,,0
544168,2021-01-12,A,pending,,,0
544169,2021-01-12,A,pending,,,0
544170,2021-01-12,A,pending,,,0
544171,2021-01-12,A,pending,,,0
544172,2021-01-12,A,pending,,,0
544173,2021-01-12,A,pending,,,0
544174,2021-01-12,A,pending,,,0
544175,2021-01-12,A,pending,,,0
544176,2021-01-12,A,pending,,,0
544177,2021-01-12,A,pending,,,0
544178,2021-01-12,A,pending,,,0
544179,2021-01-12,A,pending,,,0
544180,2021-01-12,A,pending,,,0
544181,2021-01-12,A,pending,,,0
544182,2021-01-12,A,pending,,,0
544183,2021-01-12,A,pending,,,0
544184,2021-01-12,A,pending,,,0
544198,2021-01-13,A,pending,,,0
544211,2021-01-13,A,pending,,,0
544215,2021-01-13,A,pending,,,0
544220,2021-01-13,A,pending,,,0
544221,2021-01-13,A,pending,,,0
544224,2021-01-13,A,pending,,,0
544226,2021-01-13,A,pending,,,0
544241,2021-01-13,A,pending,,,0
544264,2021-01-13,A,pending,,,0
544282,2021-01-13,A,pending,,,0
544299,2021-01-13,A,pending,,,0
544317,2021-01-13,A,pending,,,0
544344,2021-01-13,A,pending,,,0
544362,2021-01-13,A,pending,,,0
544374,2021-01-13,A,pending,,,0
544375,2021-01-13,A,pending,,,0
544380,2021-01-13,A,pending,,,0
544402,2021-01-13,A,pending,,,0
544403,2021-01-13,A,pending,,,0
544405,2021-01-13,A,pending,,,0
544406,2021-01-13,A,pending,,,0
544407,2021-01-13,A,pending,,,0
544408,2021-01-13,A,pending,,,0
544409,2021-01-13,A,pending,,,0
544411,2021-01-13,A,pending,,,0
544412,2021-01-13,A,pending,,,0
544413,2021-01-13,A,pending,,,0
544415,2021-01-13,A,pending,,,0
544416,2021-01-13,A,pending,,,0
544417,2021-01-13,A,pending,,,0
544419,2021-01-13,A,pending,,,0
544420,2021-01-13,A,pending,,,0
544421,2021-01-13,A,pending,,,0
544422,2021-01-13,A,pending,,,0
544423,2021-01-13,A,pending,,,0
544424,2021-01-13,A,pending,,,0
544425,2021-01-13,A,pending,,,0
544426,2021-01-13,A,pending,,,0
544428,2021-01-13,A,pending,,,0
544429,2021-01-13,A,pending,,,0
544430,2021-01-13,A,pending,,,0
544431,2021-01-13,A,pending,,,0
544432,2021-01-13,A,pending,,,0
544433,2021-01-13,A,pending,,,0
544434,2021-01-13,A,pending,,,0
544436,2021-01-13,A,pending,,,0
544437,2021-01-13,A,pending,,,0
544438,2021-01-13,A,pending,,,0
544439,2021-01-13,A,pending,,,0
544440,2021-01-13,A,pending,,,0
544441,2021-01-13,A,pending,,,0
544442,2021-01-13,A,pending,,,0
544443,2021-01-13,A,pending,,,0
544444,2021-01-13,A,pending,,,0
544445,2021-01-13,A,pending,,,0
544446,2021-01-13,A,pending,,,0
544447,2021-01-13,A,pending,,,0
544448,2021-01-13,A,pending,,,0
544449,2021-01-13,A,pending,,,0
544450,2021-01-13,A,pending,,,0
544451,2021-01-13,A,pending,,,0
544452,2021-01-13,A,pending,,,0
544453,2021-01-13,A,pending,,,0
544454,2021-01-13,A,pending,,,0
544455,2021-01-13,A,pending,,,0
544456,2021-01-13,A,pending,,,0
544457,2021-01-13,A,pending,,,0
544458,2021-01-13,A,pending,,,0
544459,2021-01-13,A,pending,,,0
544460,2021-01-13,A,pending,,,0
544461,2021-01-13,A,pending,,,0
544462,2021-01-13,A,pending,,,0
544463,2021-01-13,A,pending,,,0
544464,2021-01-13,A,pending,,,0
544465,2021-01-13,A,pending,,,0
544466,2021-01-13,A,pending,,,0
544467,2021-01-13,A,pending,,,0
544468,2021-01-13,A,pending,,,0
544469,2021-01-13,A,pending,,,0
544470,2021-01-13,A,pending,,,0
544471,2021-01-13,A,pending,,,0
544472,2021-01-13,A,pending,,,0
544473,2021-01-13,A,pending,,,0
544474,2021-01-13,A,pending,,,0
544475,2021-01-13,A,pending,,,0
544476,2021-01-13,A,pending,,,0
544477,2021-01-13,A,pending,,,0
544478,2021-01-13,A,pending,,,0
544479,2021-01-13,A,pending,,,0
544480,2021-01-13,A,pending,,,0
544481,2021-01-13,A,pending,,,0
544482,2021-01-13,A,pending,,,0
544483,2021-01-13,A,pending,,,0
544484,2021-01-13,A,pending,,,0
544485,2021-01-13,A,pending,,,0
544486,2021-01-13,A,pending,,,0
544487,2021-01-13,A,pending,,,0
544488,2021-01-13,A,pending,,,0
544489,2021-01-13,A,pending,,,0
544490,2021-01-13,A,pending,,,0
544491,2021-01-13,A,pending,,,0
544492,2021-01-13,A,pending,,,0
544493,2021-01-13,A,pending,,,0
544494,2021-01-13,A,pending,,,0
544495,2021-01-13,A,pending,,,0
544496,2021-01-13,A,pending,,,0
544497,2021-01-13,A,pending,,,0
544498,2021-01-13,A,pending,,,0
544499,2021-01-13,A,pending,,,0
544500,2021-01-13,A,pending,,,0
544501,2021-01-13,A,pending,,,0
544502,2021-01-13,A,pending,,,0
544505,2021-01-13,A,pending,,,0
544507,2021-01-13,A,pending,,,0
544508,2021-01-13,A,pending,,,0
544528,2021-01-14,A,pending,,,0
544545,2021-01-14,A,pending,,,0
544579,2021-01-14,A,pending,,,0
544605,2021-01-14,A,pending,,,0
544607,2021-01-14,A,pending,,,0
544611,2021-01-14,A,pending,,,0
544627,2021-01-14,A,pending,,,0
544631,2021-01-14,A,pending,,,0
544648,2021-01-14,A,pending,,,0
544651,2021-01-14,A,pending,,,0
544674,2021-01-14,A,pending,,,0
544675,2021-01-14,A,pending,,,0
544676,2021-01-14,A,pending,,,0
544678,2021-01-14,A,pending,,,0
544686,2021-01-14,A,pending,,,0
544704,2021-01-14,A,pending,,,0
544705,2021-01-14,A,pending,,,0
544710,2021-01-14,A,pending,,,0
544711,2021-01-14,A,pending,,,0
544712,2021-01-14,A,pending,,,0
544713,2021-01-14,A,pending,,,0
544714,2021-01-14,A,pending,,,0
544720,2021-01-14,A,pending,,,0
544723,2021-01-14,A,pending,,,0
544724,2021-01-14,A,pending,,,0
544725,2021-01-14,A,pending,,,0
544726,2021-01-14,A,pending,,,0
544727,2021-01-14,A,pending,,,0
544728,2021-01-14,A,pending,,,0
544729,2021-01-14,A,pending,,,0
544730,2021-01-14,A,pending,,,0
544731,2021-01-14,A,pending,,,0
544732,2021-01-14,A,pending,,,0
544733,2021-01-14,A,pending,,,0
544734,2021-01-14,A,pending,,,0
544738,2021-01-14,A,pending,,,0
544742,2021-01-14,A,pending,,,0
544743,2021-01-14,A,pending,,,0
544744,2021-01-14,A,pending,,,0
544746,2021-01-15,A,pending,,,0
544747,2021-01-15,A,pending,,,0
544753,2021-01-15,A,pending,,,0
544757,2021-01-15,A,pending,,,0
544759,2021-01-15,A,pending,,,0
544760,2021-01-15,A,pending,,,0
544772,2021-01-15,A,pending,,,0
544775,2021-01-15,A,pending,,,0
544781,2021-01-15,A,pending,,,0
544784,2021-01-15,A,pending,,,0
544788,2021-01-15,A,pending,,,0
544795,2021-01-15,A,pending,,,0
544801,2021-01-15,A,pending,,,0
544828,2021-01-15,A,pending,,,0
544831,2021-01-15,A,pending,,,0
544836,2021-01-15,A,pending,,,0
544847,2021-01-15,A,pending,,,0
544853,2021-01-15,A,pending,,,0
544854,2021-01-15,A,pending,,,0
544855,2021-01-15,A,pending,,,0
544856,2021-01-15,A,pending,,,0
544857,2021-01-15,A,pending,,,0
544858,2021-01-15,A,pending,,,0
544859,2021-01-15,A,pending,,,0
544860,2021-01-15,A,pending,,,0
544861,2021-01-15,A,pending,,,0
544862,2021-01-15,A,pending,,,0
544863,2021-01-15,A,pending,,,0
544864,2021-01-15,A,pending,,,0
544865,2021-01-15,A,pending,,,0
544866,2021-01-15,A,pending,,,0
544867,2021-01-15,A,pending,,,0
544868,2021-01-15,A,pending,,,0
544869,2021-01-15,A,pending,,,0
544870,2021-01-15,A,pending,,,0
544871,2021-01-15,A,pending,,,0
544872,2021-01-15,A,pending,,,0
544873,2021-01-15,A,pending,,,0
544874,2021-01-15,A,pending,,,0
544875,2021-01-15,A,pending,,,0
544876,2021-01-15,A,pending,,,0
544877,2021-01-15,A,pending,,,0
544878,2021-01-15,A,pending,,,0
544879,2021-01-15,A,pending,,,0
544882,2021-01-15,A,pending,,,0
544903,2021-01-15,A,pending,,,0
544904,2021-01-15,A,pending,,,0
544921,2021-01-18,A,pending,,,0
544922,2021-01-18,A,pending,,,0
544923,2021-01-18,A,pending,,,0
544924,2021-01-18,A,pending,,,0
544950,2021-01-18,A,pending,,,0
544962,2021-01-18,A,pending,,,0
544963,2021-01-18,A,pending,,,0
544964,2021-01-18,A,pending,,,0
544965,2021-01-18,A,pending,,,0
544966,2021-01-18,A,pending,,,0
544967,2021-01-18,A,pending,,,0
544968,2021-01-18,A,pending,,,0
544983,2021-01-18,A,pending,,,0
544986,2021-01-18,A,pending,,,0
544991,2021-01-18,A,pending,,,0
545004,2021-01-18,A,pending,,,0
545009,2021-01-18,A,pending,,,0
545010,2021-01-18,A,pending,,,0
545013,2021-01-18,A,pending,,,0
545019,2021-01-18,A,pending,,,0
545026,2021-01-18,A,pending,,,0
545035,2021-01-18,A,pending,,,0
545043,2021-01-18,A,pending,,,0
545044,2021-01-18,A,pending,,,0
545045,2021-01-18,A,pending,,,0
545059,2021-01-18,A,pending,,,0
545062,2021-01-18,A,pending,,,0
545066,2021-01-18,A,pending,,,0
545070,2021-01-18,A,pending,,,0
545085,2021-01-19,A,pending,,,0
545093,2021-01-19,A,pending,,,0
545095,2021-01-19,A,pending,,,0
545096,2021-01-19,A,pending,,,0
545108,2021-01-19,A,pending,,,0
545109,2021-01-19,A,pending,,,0
545110,2021-01-19,A,pending,,,0
545114,2021-01-19,A,pending,,,0
545116,2021-01-19,A,pending,,,0
545123,2021-01-19,A,pending,,,0
545137,2021-01-19,A,pending,,,0
545140,2021-01-19,A,pending,,,0
545145,2021-01-19,A,pending,,,0
545186,2021-01-19,A,pending,,,0
545190,2021-01-19,A,pending,,,0
545191,2021-01-19,A,pending,,,0
545193,2021-01-19,A,pending,,,0
545202,2021-01-19,A,pending,,,0
545209,2021-01-19,A,pending,,,0
545211,2021-01-19,A,pending,,,0
545213,2021-01-19,A,pending,,,0
545215,2021-01-19,A,pending,,,0
545237,2021-01-19,A,pending,,,0
545238,2021-01-19,A,pending,,,0
545239,2021-01-19,A,pending,,,0
545240,2021-01-19,A,pending,,,0
545241,2021-01-19,A,pending,,,0
545242,2021-01-19,A,pending,,,0
545245,2021-01-19,A,pending,,,0
545246,2021-01-19,A,pending,,,0
545247,2021-01-19,A,pending,,,0
545248,2021-01-19,A,pending,,,0
545250,2021-01-19,A,pending,,,0
545251,2021-01-19,A,pending,,,0
545252,2021-01-19,A,pending,,,0
545253,2021-01-19,A,pending,,,0
545254,2021-01-19,A,pending,,,0
545255,2021-01-19,A,pending,,,0
545256,2021-01-19,A,pending,,,0
545257,2021-01-19,A,pending,,,0
545258,2021-01-19,A,pending,,,0
545259,2021-01-19,A,pending,,,0
545260,2021-01-19,A,pending,,,0
545268,2021-01-20,A,pending,,,0
545269,2021-01-20,A,pending,,,0
545270,2021-01-20,A,pending,,,0
545271,2021-01-20,A,pending,,,0
545272,2021-01-20,A,pending,,,0
545319,2021-01-20,A,pending,,,0
545320,2021-01-20,A,pending,,,0
545423,2021-01-20,A,pending,,,0
545424,2021-01-20,A,pending,,,0
545427,2021-01-20,A,pending,,,0
545431,2021-01-20,A,pending,,,0
545432,2021-01-20,A,pending,,,0
545434,2021-01-20,A,pending,,,0
545435,2021-01-20,A,pending,,,0
545436,2021-01-20,A,pending,,,0
545437,2021-01-20,A,pending,,,0
545438,2021-01-20,A,pending,,,0
545441,2021-01-20,A,pending,,,0
545443,2021-01-20,A,pending,,,0
545444,2021-01-20,A,pending,,,0
545446,2021-01-20,A,pending,,,0
545450,2021-01-20,A,pending,,,0
545456,2021-01-20,A,pending,,,0
545492,2021-01-20,A,pending,,,0
545500,2021-01-20,A,pending,,,0
545504,2021-01-20,A,pending,,,0
545511,2021-01-20,A,pending,,,0
545513,2021-01-20,A,pending,,,0
545514,2021-01-20,A,pending,,,0
545515,2021-01-20,A,pending,,,0
545525,2021-01-20,A,pending,,,0
545544,2021-01-20,A,pending,,,0
545555,2021-01-20,A,pending,,,0
545556,2021-01-20,A,pending,,,0
545568,2021-01-21,A,pending,,,0
545578,2021-01-21,A,pending,,,0
545588,2021-01-21,A,pending,,,0
545598,2021-01-21,A,pending,,,0
545610,2021-01-21,A,pending,,,0
545614,2021-01-21,A,pending,,,0
545616,2021-01-21,A,pending,,,0
545621,2021-01-21,A,pending,,,0
545624,2021-01-21,A,pending,,,0
545635,2021-01-21,A,pending,,,0
545643,2021-01-21,A,pending,,,0
545645,2021-01-21,A,pending,,,0
545653,2021-01-21,A,pending,,,0
545654,2021-01-21,A,pending,,,0
545655,2021-01-21,A,pending,,,0
545656,2021-01-21,A,pending,,,0
545659,2021-01-21,A,pending,,,0
545663,2021-01-21,A,pending,,,0
545664,2021-01-21,A,pending,,,0
545669,2021-01-21,A,pending,,,0
545670,2021-01-21,A,pending,,,0
545671,2021-01-21,A,pending,,,0
545672,2021-01-21,A,pending,,,0
545673,2021-01-21,A,pending,,,0
545679,2021-01-21,A,pending,,,0
545680,2021-01-21,A,pending,,,0
545712,2021-01-21,A,pending,,,0
545718,2021-01-21,A,pending,,,0
545719,2021-01-21,A,pending,,,0
545748,2021-01-22,A,pending,,,0
545752,2021-01-22,A,pending,,,0
545756,2021-01-22,A,pending,,,0
545759,2021-01-22,A,pending,,,0
545764,2021-01-22,A,pending,,,0
545765,2021-01-22,A,pending,,,0
545766,2021-01-22,A,pending,,,0
545768,2021-01-22,A,pending,,,0
545771,2021-01-22,A,pending,,,0
545772,2021-01-22,A,pending,,,0
545776,2021-01-22,A,pending,,,0
545782,2021-01-22,A,pending,,,0
545786,2021-01-22,A,pending,,,0
545787,2021-01-22,A,pending,,,0
545799,2021-01-22,A,pending,,,0
545801,2021-01-22,A,pending,,,0
545807,2021-01-22,A,pending,,,0
545809,2021-01-22,A,pending,,,0
545812,2021-01-22,A,pending,,,0
545815,2021-01-22,A,pending,,,0
545816,2021-01-22,A,pending,,,0
545848,2021-01-22,A,pending,,,0
545851,2021-01-22,A,pending,,,0
545853,2021-01-22,A,pending,,,0
545854,2021-01-22,A,pending,,,0
545857,2021-01-22,A,pending,,,0
545858,2021-01-22,A,pending,,,0
545859,2021-01-22,A,pending,,,0
545860,2021-01-22,A,pending,,,0
545861,2021-01-22,A,pending,,,0
545862,2021-01-22,A,pending,,,0
545863,2021-01-22,A,pending,,,0
545865,2021-01-22,A,pending,,,0
545867,2021-01-22,A,pending,,,0
545868,2021-01-22,A,pending,,,0
545874,2021-01-22,A,pending,,,0
545882,2021-01-22,A,pending,,,0
545883,2021-01-22,A,pending,,,0
545884,2021-01-22,A,pending,,,0
545886,2021-01-22,A,pending,,,0
545887,2021-01-22,A,pending,,,0
545888,2021-01-22,A,pending,,,0
545890,2021-01-22,A,pending,,,0
545891,2021-01-22,A,pending,,,0
545892,2021-01-22,A,pending,,,0
545893,2021-01-22,A,pending,,,0
545902,2021-01-22,A,pending,,,0
545903,2021-01-22,A,pending,,,0
545904,2021-01-22,A,pending,,,0
545905,2021-01-22,A,pending,,,0
545907,2021-01-22,A,pending,,,0
545908,2021-01-22,A,pending,,,0
545909,2021-01-22,A,pending,,,0
545910,2021-01-22,A,pending,,,0
545911,2021-01-22,A,pending,,,0
545912,2021-01-22,A,pending,,,0
545913,2021-01-22,A,pending,,,0
545914,2021-01-22,A,pending,,,0
545916,2021-01-22,A,pending,,,0
545917,2021-01-22,A,pending,,,0
545919,2021-01-22,A,pending,,,0
545921,2021-01-22,A,pending,,,0
545923,2021-01-22,A,pending,,,0
545924,2021-01-22,A,pending,,,0
545925,2021-01-22,A,pending,,,0
545926,2021-01-22,A,pending,,,0
545928,2021-01-22,A,pending,,,0
545932,2021-01-22,A,pending,,,0
545934,2021-01-22,A,pending,,,0
545935,2021-01-22,A,pending,,,0
545938,2021-01-22,A,pending,,,0
545939,2021-01-22,A,pending,,,0
545940,2021-01-22,A,pending,,,0
545948,2021-01-22,A,pending,,,0
545949,2021-01-22,A,pending,,,0
545957,2021-01-22,A,pending,,,0
545959,2021-01-23,A,pending,,,0
545960,2021-01-23,A,pending,,,0
545970,2021-01-25,A,pending,,,0
545971,2021-01-25,A,pending,,,0
545979,2021-01-25,A,pending,,,0
545986,2021-01-25,A,pending,,,0
545992,2021-01-25,A,pending,,,0
545993,2021-01-25,A,pending,,,0
546003,2021-01-25,A,pending,,,0
546005,2021-01-25,A,pending,,,0
546006,2021-01-25,A,pending,,,0
546007,2021-01-25,A,pending,,,0
546008,2021-01-25,A,pending,,,0
546009,2021-01-25,A,pending,,,0
546010,2021-01-25,A,pending,,,0
546018,2021-01-25,A,pending,,,0
546019,2021-01-25,A,pending,,,0
546020,2021-01-25,A,pending,,,0
546035,2021-01-25,A,pending,,,0
546040,2021-01-25,A,pending,,,0
546042,2021-01-25,A,pending,,,0
546056,2021-01-25,A,pending,,,0
546064,2021-01-25,A,pending,,,0
546070,2021-01-25,A,pending,,,0
546073,2021-01-25,A,pending,,,0
546092,2021-01-25,A,pending,,,0
546094,2021-01-25,A,pending,,,0
546118,2021-01-25,A,pending,,,0
546119,2021-01-25,A,pending,,,0
546146,2021-01-26,A,pending,,,0
546148,2021-01-26,A,pending,,,0
546162,2021-01-26,A,pending,,,0
546169,2021-01-26,A,pending,,,0
546170,2021-01-26,A,pending,,,0
546171,2021-01-26,A,pending,,,0
546173,2021-01-26,A,pending,,,0
546178,2021-01-26,A,pending,,,0
546179,2021-01-26,A,pending,,,0
546181,2021-01-26,A,pending,,,0
546185,2021-01-26,A,pending,,,0
546194,2021-01-26,A,pending,,,0
546195,2021-01-26,A,pending,,,0
546207,2021-01-26,A,pending,,,0
546208,2021-01-26,A,pending,,,0
546209,2021-01-26,A,pending,,,0
546210,2021-01-26,A,pending,,,0
546221,2021-01-26,A,pending,,,0
546223,2021-01-26,A,pending,,,0
546224,2021-01-26,A,pending,,,0
546225,2021-01-26,A,pending,,,0
546231,2021-01-26,A,pending,,,0
546239,2021-01-26,A,pending,,,0
546244,2021-01-26,A,pending,,,0
546296,2021-01-26,A,pending,,,0
546297,2021-01-26,A,pending,,,0
