codigo_bdns,fecha_recepcion,tipo_administracion,status,last_error,last_attempt,retries
543209,2021-01-03,C,pending,,,0
543483,2021-01-07,C,pending,,,0
543905,2021-01-11,C,pending,,,0
543977,2021-01-12,C,pending,,,0
543980,2021-01-12,C,pending,,,0
544025,2021-01-12,C,pending,,,0
544122,2021-01-12,C,pending,,,0
544126,2021-01-12,C,pending,,,0
544127,2021-01-12,C,pending,,,0
544134,2021-01-12,C,pending,,,0
544137,2021-01-12,C,pending,,,0
544138,2021-01-12,C,pending,,,0
544142,2021-01-12,C,pending,,,0
544186,2021-01-12,C,pending,,,0
544514,2021-01-14,C,pending,,,0
544523,2021-01-14,C,pending,,,0
544531,2021-01-14,C,pending,,,0
544533,2021-01-14,C,pending,,,0
544544,2021-01-14,C,pending,,,0
544716,2021-01-14,C,pending,,,0
544896,2021-01-15,C,pending,,,0
545261,2021-01-19,C,pending,,,0
545565,2021-01-21,C,pending,,,0
545746,2021-01-22,C,pending,,,0
545870,2021-01-22,C,pending,,,0
545889,2021-01-22,C,pending,,,0
545894,2021-01-22,C,pending,,,0
545915,2021-01-22,C,pending,,,0
545991,2021-01-25,C,pending,,,0
546017,2021-01-25,C,pending,,,0
546037,2021-01-25,C,pending,,,0
546069,2021-01-25,C,pending,,,0
546072,2021-01-25,C,pending,,,0
546426,2021-01-27,C,pending,,,0
546535,2021-01-28,C,pending,,,0
546536,2021-01-28,C,pending,,,0
546537,2021-01-28,C,pending,,,0
546538,2021-01-28,C,pending,,,0
546539,2021-01-28,C,pending,,,0
546540,2021-01-28,C,pending,,,0
546541,2021-01-28,C,pending,,,0
546542,2021-01-28,C,pending,,,0
546543,2021-01-28,C,pending,,,0
546544,2021-01-28,C,pending,,,0
546545,2021-01-28,C,pending,,,0
546546,2021-01-28,C,pending,,,0
546547,2021-01-28,C,pending,,,0
546548,2021-01-28,C,pending,,,0
546549,2021-01-28,C,pending,,,0
546550,2021-01-28,C,pending,,,0
546551,2021-01-28,C,pending,,,0
546552,2021-01-28,C,pending,,,0
546553,2021-01-28,C,pending,,,0
546692,2021-01-28,C,pending,,,0
546698,2021-01-28,C,pending,,,0
546701,2021-01-28,C,pending,,,0
546718,2021-01-28,C,pending,,,0
546720,2021-01-28,C,pending,,,0
546724,2021-01-28,C,pending,,,0
546727,2021-01-28,C,pending,,,0
546730,2021-01-28,C,pending,,,0
546782,2021-01-28,C,pending,,,0
547090,2021-02-01,C,pending,,,0
547341,2021-02-02,C,pending,,,0
547485,2021-02-03,C,pending,,,0
547533,2021-02-03,C,pending,,,0
547540,2021-02-03,C,pending,,,0
547613,2021-02-04,C,pending,,,0
547617,2021-02-04,C,pending,,,0
547628,2021-02-04,C,pending,,,0
547632,2021-02-04,C,pending,,,0
547633,2021-02-04,C,pending,,,0
547636,2021-02-04,C,pending,,,0
547639,2021-02-04,C,pending,,,0
547665,2021-02-04,C,pending,,,0
547680,2021-02-04,C,pending,,,0
547694,2021-02-04,C,pending,,,0
547823,2021-02-05,C,pending,,,0
547960,2021-02-05,C,pending,,,0
548093,2021-02-08,C,pending,,,0
548128,2021-02-08,C,pending,,,0
548132,2021-02-08,C,pending,,,0
548140,2021-02-08,C,pending,,,0
548147,2021-02-08,C,pending,,,0
548160,2021-02-08,C,pending,,,0
548168,2021-02-08,C,pending,,,0
548180,2021-02-08,C,pending,,,0
548235,2021-02-09,C,pending,,,0
548255,2021-02-09,C,pending,,,0
548292,2021-02-09,C,pending,,,0
548456,2021-02-10,C,pending,,,0
548512,2021-02-10,C,pending,,,0
548524,2021-02-10,C,pending,,,0
548582,2021-02-10,C,pending,,,0
548583,2021-02-10,C,pending,,,0
548605,2021-02-11,C,pending,,,0
548665,2021-02-11,C,pending,,,0
548779,2021-02-11,C,pending,,,0
548833,2021-02-11,C,pending,,,0
549169,2021-02-15,C,pending,,,0
549175,2021-02-15,C,pending,,,0
549177,2021-02-15,C,pending,,,0
549179,2021-02-15,C,pending,,,0
549181,2021-02-15,C,pending,,,0
549347,2021-02-16,C,pending,,,0
549416,2021-02-16,C,pending,,,0
549482,2021-02-17,C,pending,,,0
549525,2021-02-17,C,pending,,,0
549526,2021-02-17,C,pending,,,0
549544,2021-02-17,C,pending,,,0
549548,2021-02-17,C,pending,,,0
549582,2021-02-17,C,pending,,,0
549632,2021-02-17,C,pending,,,0
549683,2021-02-18,C,pending,,,0
549687,2021-02-18,C,pending,,,0
549691,2021-02-18,C,pending,,,0
549702,2021-02-18,C,pending,,,0
549805,2021-02-18,C,pending,,,0
549814,2021-02-18,C,pending,,,0
549818,2021-02-18,C,pending,,,0
550084,2021-02-22,C,pending,,,0
550256,2021-02-22,C,pending,,,0
550260,2021-02-22,C,pending,,,0
550261,2021-02-22,C,pending,,,0
550262,2021-02-22,C,pending,,,0
550264,2021-02-22,C,pending,,,0
550265,2021-02-22,C,pending,,,0
550266,2021-02-22,C,pending,,,0
550267,2021-02-22,C,pending,,,0
550268,2021-02-22,C,pending,,,0
550269,2021-02-22,C,pending,,,0
550270,2021-02-22,C,pending,,,0
550271,2021-02-22,C,pending,,,0
550272,2021-02-22,C,pending,,,0
550273,2021-02-22,C,pending,,,0
550274,2021-02-22,C,pending,,,0
550278,2021-02-22,C,pending,,,0
550279,2021-02-22,C,pending,,,0
550280,2021-02-22,C,pending,,,0
550281,2021-02-22,C,pending,,,0
550282,2021-02-22,C,pending,,,0
550338,2021-02-23,C,pending,,,0
550353,2021-02-23,C,pending,,,0
550614,2021-02-24,C,pending,,,0
550701,2021-02-24,C,pending,,,0
550702,2021-02-24,C,pending,,,0
550913,2021-02-25,C,pending,,,0
550916,2021-02-25,C,pending,,,0
550918,2021-02-25,C,pending,,,0
550924,2021-02-25,C,pending,,,0
550942,2021-02-25,C,pending,,,0
550945,2021-02-25,C,pending,,,0
551025,2021-02-26,C,pending,,,0
551028,2021-02-26,C,pending,,,0
551029,2021-02-26,C,pending,,,0
551037,2021-02-26,C,pending,,,0
551059,2021-02-26,C,pending,,,0
551061,2021-02-26,C,pending,,,0
551089,2021-02-26,C,pending,,,0
551106,2021-02-26,C,pending,,,0
551109,2021-02-26,C,pending,,,0
551114,2021-02-26,C,pending,,,0
551117,2021-02-26,C,pending,,,0
551122,2021-02-26,C,pending,,,0
551171,2021-02-26,C,pending,,,0
551253,2021-03-01,C,pending,,,0
551256,2021-03-01,C,pending,,,0
551259,2021-03-01,C,pending,,,0
551264,2021-03-01,C,pending,,,0
551294,2021-03-01,C,pending,,,0
551298,2021-03-01,C,pending,,,0
551410,2021-03-01,C,pending,,,0
551459,2021-03-02,C,pending,,,0
551501,2021-03-02,C,pending,,,0
551709,2021-03-03,C,pending,,,0
551728,2021-03-03,C,pending,,,0
551744,2021-03-03,C,pending,,,0
551753,2021-03-03,C,pending,,,0
551754,2021-03-03,C,pending,,,0
551803,2021-03-03,C,pending,,,0
551876,2021-03-04,C,pending,,,0
551918,2021-03-04,C,pending,,,0
552057,2021-03-05,C,pending,,,0
552063,2021-03-05,C,pending,,,0
552161,2021-03-05,C,pending,,,0
552209,2021-03-05,C,pending,,,0
552239,2021-03-08,C,pending,,,0
552244,2021-03-08,C,pending,,,0
552254,2021-03-08,C,pending,,,0
552343,2021-03-08,C,pending,,,0
552461,2021-03-08,C,pending,,,0
552499,2021-03-09,C,pending,,,0
552503,2021-03-09,C,pending,,,0
552602,2021-03-09,C,pending,,,0
552656,2021-03-09,C,pending,,,0
552682,2021-03-10,C,pending,,,0
552738,2021-03-10,C,pending,,,0
552741,2021-03-10,C,pending,,,0
552743,2021-03-10,C,pending,,,0
552746,2021-03-10,C,pending,,,0
552749,2021-03-10,C,pending,,,0
552751,2021-03-10,C,pending,,,0
552754,2021-03-10,C,pending,,,0
552756,2021-03-10,C,pending,,,0
552810,2021-03-10,C,pending,,,0
552820,2021-03-10,C,pending,,,0
552866,2021-03-11,C,pending,,,0
553123,2021-03-12,C,pending,,,0
553207,2021-03-12,C,pending,,,0
553215,2021-03-13,C,pending,,,0
553216,2021-03-13,C,pending,,,0
553217,2021-03-13,C,pending,,,0
553218,2021-03-13,C,pending,,,0
553219,2021-03-14,C,pending,,,0
553220,2021-03-14,C,pending,,,0
553224,2021-03-14,C,pending,,,0
