codigo_bdns,fecha_recepcion,tipo_administracion,status,last_error,last_attempt,retries
543206,2021-01-02,L,pending,,,0
543207,2021-01-02,L,pending,,,0
543208,2021-01-02,L,pending,,,0
543210,2021-01-03,L,pending,,,0
543211,2021-01-03,L,pending,,,0
543212,2021-01-03,L,pending,,,0
543213,2021-01-03,L,pending,,,0
543214,2021-01-03,L,pending,,,0
543215,2021-01-03,L,pending,,,0
543216,2021-01-03,L,pending,,,0
543217,2021-01-03,L,pending,,,0
543218,2021-01-03,L,pending,,,0
543219,2021-01-03,L,pending,,,0
543220,2021-01-03,L,pending,,,0
543221,2021-01-03,L,pending,,,0
543222,2021-01-03,L,pending,,,0
543223,2021-01-04,L,pending,,,0
543224,2021-01-04,L,pending,,,0
543225,2021-01-04,L,pending,,,0
543226,2021-01-04,L,pending,,,0
543227,2021-01-04,L,pending,,,0
543228,2021-01-04,L,pending,,,0
543229,2021-01-04,L,pending,,,0
543230,2021-01-04,L,pending,,,0
543231,2021-01-04,L,pending,,,0
543232,2021-01-04,L,pending,,,0
543233,2021-01-04,L,pending,,,0
543234,2021-01-04,L,pending,,,0
543235,2021-01-04,L,pending,,,0
543236,2021-01-04,L,pending,,,0
543237,2021-01-04,L,pending,,,0
543238,2021-01-04,L,pending,,,0
543239,2021-01-04,L,pending,,,0
543240,2021-01-04,L,pending,,,0
543241,2021-01-04,L,pending,,,0
543243,2021-01-04,L,pending,,,0
543244,2021-01-04,L,pending,,,0
543245,2021-01-04,L,pending,,,0
543246,2021-01-04,L,pending,,,0
543247,2021-01-04,L,pending,,,0
543248,2021-01-04,L,pending,,,0
543249,2021-01-04,L,pending,,,0
543250,2021-01-04,L,pending,,,0
543251,2021-01-04,L,pending,,,0
543252,2021-01-04,L,pending,,,0
543254,2021-01-04,L,pending,,,0
543258,2021-01-04,L,pending,,,0
543259,2021-01-04,L,pending,,,0
543260,2021-01-04,L,pending,,,0
543261,2021-01-04,L,pending,,,0
543262,2021-01-04,L,pending,,,0
543264,2021-01-04,L,pending,,,0
543265,2021-01-04,L,pending,,,0
543266,2021-01-04,L,pending,,,0
543269,2021-01-04,L,pending,,,0
543270,2021-01-04,L,pending,,,0
543272,2021-01-04,L,pending,,,0
543273,2021-01-04,L,pending,,,0
543274,2021-01-04,L,pending,,,0
543275,2021-01-04,L,pending,,,0
543276,2021-01-04,L,pending,,,0
543277,2021-01-04,L,pending,,,0
543278,2021-01-04,L,pending,,,0
543279,2021-01-04,L,pending,,,0
543280,2021-01-04,L,pending,,,0
543281,2021-01-04,L,pending,,,0
543282,2021-01-04,L,pending,,,0
543283,2021-01-04,L,pending,,,0
543284,2021-01-04,L,pending,,,0
543285,2021-01-04,L,pending,,,0
543286,2021-01-04,L,pending,,,0
543287,2021-01-04,L,pending,,,0
543288,2021-01-04,L,pending,,,0
543289,2021-01-04,L,pending,,,0
543290,2021-01-04,L,pending,,,0
543291,2021-01-04,L,pending,,,0
543292,2021-01-04,L,pending,,,0
543293,2021-01-04,L,pending,,,0
543294,2021-01-04,L,pending,,,0
543295,2021-01-04,L,pending,,,0
543296,2021-01-04,L,pending,,,0
543298,2021-01-04,L,pending,,,0
543302,2021-01-04,L,pending,,,0
543305,2021-01-04,L,pending,,,0
543306,2021-01-04,L,pending,,,0
543307,2021-01-04,L,pending,,,0
543308,2021-01-04,L,pending,,,0
543309,2021-01-04,L,pending,,,0
543310,2021-01-04,L,pending,,,0
543311,2021-01-04,L,pending,,,0
543312,2021-01-04,L,pending,,,0
543313,2021-01-04,L,pending,,,0
543314,2021-01-04,L,pending,,,0
543315,2021-01-04,L,pending,,,0
543316,2021-01-04,L,pending,,,0
543317,2021-01-04,L,pending,,,0
543318,2021-01-04,L,pending,,,0
543319,2021-01-04,L,pending,,,0
543320,2021-01-04,L,pending,,,0
543321,2021-01-04,L,pending,,,0
543322,2021-01-04,L,pending,,,0
543323,2021-01-04,L,pending,,,0
543324,2021-01-04,L,pending,,,0
543326,2021-01-04,L,pending,,,0
543327,2021-01-04,L,pending,,,0
543329,2021-01-04,L,pending,,,0
543330,2021-01-04,L,pending,,,0
543331,2021-01-04,L,pending,,,0
543332,2021-01-04,L,pending,,,0
543334,2021-01-04,L,pending,,,0
543335,2021-01-04,L,pending,,,0
543337,2021-01-04,L,pending,,,0
543338,2021-01-04,L,pending,,,0
543339,2021-01-04,L,pending,,,0
543340,2021-01-04,L,pending,,,0
543341,2021-01-04,L,pending,,,0
543342,2021-01-04,L,pending,,,0
543343,2021-01-04,L,pending,,,0
543344,2021-01-04,L,pending,,,0
543345,2021-01-04,L,pending,,,0
543346,2021-01-04,L,pending,,,0
543347,2021-01-04,L,pending,,,0
543350,2021-01-04,L,pending,,,0
543351,2021-01-04,L,pending,,,0
543352,2021-01-04,L,pending,,,0
543354,2021-01-04,L,pending,,,0
543355,2021-01-04,L,pending,,,0
543357,2021-01-04,L,pending,,,0
543358,2021-01-04,L,pending,,,0
543362,2021-01-04,L,pending,,,0
543364,2021-01-04,L,pending,,,0
543369,2021-01-04,L,pending,,,0
543370,2021-01-04,L,pending,,,0
543375,2021-01-05,L,pending,,,0
543376,2021-01-05,L,pending,,,0
543377,2021-01-05,L,pending,,,0
543378,2021-01-05,L,pending,,,0
543379,2021-01-05,L,pending,,,0
543380,2021-01-05,L,pending,,,0
543381,2021-01-05,L,pending,,,0
543382,2021-01-05,L,pending,,,0
543385,2021-01-05,L,pending,,,0
543387,2021-01-05,L,pending,,,0
543389,2021-01-05,L,pending,,,0
543390,2021-01-05,L,pending,,,0
543391,2021-01-05,L,pending,,,0
543392,2021-01-05,L,pending,,,0
543393,2021-01-05,L,pending,,,0
543394,2021-01-05,L,pending,,,0
543395,2021-01-05,L,pending,,,0
543396,2021-01-05,L,pending,,,0
543397,2021-01-05,L,pending,,,0
543398,2021-01-05,L,pending,,,0
543399,2021-01-05,L,pending,,,0
543400,2021-01-05,L,pending,,,0
543401,2021-01-05,L,pending,,,0
543402,2021-01-05,L,pending,,,0
543403,2021-01-05,L,pending,,,0
543404,2021-01-05,L,pending,,,0
543405,2021-01-05,L,pending,,,0
543406,2021-01-05,L,pending,,,0
543407,2021-01-05,L,pending,,,0
543408,2021-01-05,L,pending,,,0
543409,2021-01-05,L,pending,,,0
543410,2021-01-05,L,pending,,,0
543411,2021-01-05,L,pending,,,0
543412,2021-01-05,L,pending,,,0
543413,2021-01-05,L,pending,,,0
543414,2021-01-05,L,pending,,,0
543415,2021-01-05,L,pending,,,0
543416,2021-01-05,L,pending,,,0
543417,2021-01-05,L,pending,,,0
