codigo_bdns,fecha_recepcion,tipo_administracion,status,last_error,last_attempt,retries
543551,2021-01-07,O,pending,,,0
543663,2021-01-08,O,pending,,,0
543775,2021-01-11,O,pending,,,0
543802,2021-01-11,O,pending,,,0
543869,2021-01-11,O,pending,,,0
544546,2021-01-14,O,pending,,,0
544619,2021-01-14,O,pending,,,0
544629,2021-01-14,O,pending,,,0
544691,2021-01-14,O,pending,,,0
544756,2021-01-15,O,pending,,,0
544766,2021-01-15,O,pending,,,0
544773,2021-01-15,O,pending,,,0
544774,2021-01-15,O,pending,,,0
544816,2021-01-15,O,pending,,,0
544820,2021-01-15,O,pending,,,0
544824,2021-01-15,O,pending,,,0
544885,2021-01-15,O,pending,,,0
544934,2021-01-18,O,pending,,,0
544958,2021-01-18,O,pending,,,0
544959,2021-01-18,O,pending,,,0
544960,2021-01-18,O,pending,,,0
544969,2021-01-18,O,pending,,,0
544980,2021-01-18,O,pending,,,0
545031,2021-01-18,O,pending,,,0
545076,2021-01-18,O,pending,,,0
545262,2021-01-19,O,pending,,,0
545263,2021-01-19,O,pending,,,0
545264,2021-01-19,O,pending,,,0
545294,2021-01-20,O,pending,,,0
545317,2021-01-20,O,pending,,,0
545447,2021-01-20,O,pending,,,0
545489,2021-01-20,O,pending,,,0
545490,2021-01-20,O,pending,,,0
545666,2021-01-21,O,pending,,,0
545790,2021-01-22,O,pending,,,0
545975,2021-01-25,O,pending,,,0
546013,2021-01-25,O,pending,,,0
546120,2021-01-25,O,pending,,,0
546122,2021-01-25,O,pending,,,0
546153,2021-01-26,O,pending,,,0
546167,2021-01-26,O,pending,,,0
546203,2021-01-26,O,pending,,,0
546286,2021-01-26,O,pending,,,0
546291,2021-01-26,O,pending,,,0
546448,2021-01-27,O,pending,,,0
546499,2021-01-27,O,pending,,,0
546521,2021-01-27,O,pending,,,0
546633,2021-01-28,O,pending,,,0
546645,2021-01-28,O,pending,,,0
546671,2021-01-28,O,pending,,,0
546840,2021-01-28,O,pending,,,0
546903,2021-01-29,O,pending,,,0
546911,2021-01-29,O,pending,,,0
546994,2021-01-29,O,pending,,,0
547096,2021-02-01,O,pending,,,0
547102,2021-02-01,O,pending,,,0
547131,2021-02-01,O,pending,,,0
547308,2021-02-02,O,pending,,,0
547400,2021-02-02,O,pending,,,0
547407,2021-02-02,O,pending,,,0
547408,2021-02-02,O,pending,,,0
547409,2021-02-02,O,pending,,,0
547414,2021-02-03,O,pending,,,0
547421,2021-02-03,O,pending,,,0
547427,2021-02-03,O,pending,,,0
547437,2021-02-03,O,pending,,,0
547461,2021-02-03,O,pending,,,0
